timestamp_press,timestamp_release,key_code,key_char,hold_time,latency
1748795815438175,1748795815508372,'^',^,70.2,449.73
1748795816742996,1748795816809494,'g',g,66.5,1234.62
1748795816890559,1748795816955335,'t',t,64.78,81.06
1748795816978894,1748795817043786,'h',h,64.89,23.56
1748795817046895,1748795817140610,'t',t,93.71,3.11
1748795817430843,1748795817495643,'k',k,64.8,290.23
1748795817534601,1748795817615293,'b',b,80.69,38.96
1748795817782218,1748795817919994,'d',d,137.78,166.92
1748795817870965,1748795817989066,'s',s,118.1,-49.03
1748795818435368,1748795818514898,'c',c,79.53,446.3
1748795818620384,1748795818703030,'d',d,82.65,105.49
1748795818799421,1748795818882048,'t',t,82.63,96.39
1748795818891950,1748795818953918,'n',n,61.97,9.9
1748795819024180,1748795819113279,'f',f,89.1,70.26
1748795819973795,1748795820060640,'y',y,86.84,860.52
1748795820148726,1748795820263703,'f',f,114.98,88.09
1748795821020760,1748795821093620,'k',k,72.86,757.06
1748795821122695,1748795821191960,'b',b,69.27,29.07
1748795821399240,1748795821479892,'c',c,80.65,207.28
1748795821506863,1748795821571563,'n',n,64.7,26.97
1748795821813923,1748795821893527,'m',m,79.6,242.36
1748795822006202,1748795822107909,'z',z,101.71,112.67
1748795822442707,1748795822519547,'[',[,76.84,334.8
1748795823177761,1748795823236568,'l',l,58.81,658.21
1748795823276555,1748795823349289,'t',t,72.73,39.99
1748795823409013,1748795823474521,'h',h,65.51,59.72
1748795823503625,1748795823575050,'t',t,71.42,29.1
1748795823711166,1748795823788354,'d',d,77.19,136.12
1748795823912535,1748795823984528,'m',m,71.99,124.18
1748795824050904,1748795824133182,'t',t,82.28,66.38
1748795824338186,1748795824420686,'d',d,82.5,205.0
1748795839515974,1748795839576949,"','",",",60.98,15095.29
1748795839658302,1748795839747595,'k',k,89.29,81.35
1748795839772519,1748795839855247,'t',t,82.73,24.92
1748795839974123,1748795840074995,'c',c,100.87,118.88
1748795840522457,1748795840634139,'r',r,111.68,447.46
