timestamp_press,timestamp_release,key_code,key_char,hold_time,latency
1748765635653984,1748765635746489,'е',е,92.5,136.56
1748765636368954,1748765636456546,'с',с,87.59,622.46
1748765636565095,1748765636629853,'л',л,64.76,108.55
1748765636709681,1748765636756875,'ы',ы,47.19,79.83
1748765637164388,1748765637287082,'а',а,122.69,407.51
1748765637272975,1748765637390655,'й',й,117.68,-14.11
1748765637559426,1748765637621862,'д',д,62.44,168.77
1748765637669752,1748765637803036,'ы',ы,133.28,47.89
1748765638316830,1748765638394398,'у',у,77.57,513.79
1748765638442339,1748765638516492,'ж',ж,74.15,47.94
1748765638545783,1748765638632628,'е',е,86.84,29.29
1748765638852368,1748765638946596,'п',п,94.23,219.74
1748765638954669,1748765639028815,'о',о,74.15,8.07
1748765639115930,1748765639216558,'л',л,100.63,87.11
1748765640374051,1748765640465165,'д',д,91.11,1157.49
1748765643658601,1748765643762247,'н',н,103.65,3193.44
1748765643765248,1748765643847351,'о',о,82.1,3.0
1748765644248432,1748765644354815,'в',в,106.38,401.08
1748765644474830,1748765644573827,'у',у,99.0,120.01
1748765644647955,1748765644752531,'ю',ю,104.58,74.13
1748765644949751,1748765645037873,'п',п,88.12,197.22
1748765645054446,1748765645122035,'р',р,67.59,16.57
1748765645164849,1748765645252627,'е',е,87.78,42.81
1748765645631533,1748765645720096,'з',з,88.56,378.91
1748765645707521,1748765645784248,'у',у,76.73,-12.58
1748765647165892,1748765647252816,"','",",",86.92,1381.64
1748765648351966,1748765648427739,'н',н,75.77,1099.15
1748765648453182,1748765648531095,'о',о,77.91,25.44
1748765648689104,1748765648756073,'т',т,66.97,158.01
1748765648832907,1748765648925095,'о',о,92.19,76.83
1748765649085395,1748765649194798,'ч',ч,109.4,160.3
1748765649171683,1748765649231608,'т',т,59.93,-23.11
1748765649297612,1748765649365817,'о',о,68.21,66.0
1748765649467558,1748765649554109,'т',т,86.55,101.74
1748765649558106,1748765649634405,'е',е,76.3,4.0
1748765649708412,1748765649787621,'б',б,79.21,74.01
1748765649801639,1748765649875416,'е',е,73.78,14.02
1748765650069882,1748765650176823,'н',н,106.94,194.47
1748765650304133,1748765650371443,'а',а,67.31,127.31
1748765650355269,1748765650427219,'д',д,71.95,-16.17
1748765650521927,1748765650584200,'о',о,62.27,94.71
1748765650985483,1748765651047425,'а',а,61.94,401.28
1748765651137328,1748765651213866,'м',м,76.54,89.9
1748765651475148,1748765651559100,'е',е,83.95,261.28
1748765651712273,1748765651777509,'с',с,65.24,153.17
1748765651803820,1748765651840789,'т',т,36.97,26.31
1748765651940765,1748765652050153,'ь',ь,109.39,99.98
1748765665106560,1748765665198000,'а',а,91.44,13056.41
1748765665349264,1748765665443115,'н',н,93.85,151.26
1748765665547848,1748765665676781,'е',е,128.93,104.73
1748765666189255,1748765666275336,'м',м,86.08,512.47
1748765666374112,1748765666461199,'и',и,87.09,98.78
1748765666517524,1748765666599335,'н',н,81.81,56.32
1748765666649449,1748765666750640,'у',у,101.19,50.11
1748765666878444,1748765666939835,'с',с,61.39,127.8
1748765667356127,1748765667421616,'в',в,65.49,416.29
1748765667531469,1748765667613454,'а',а,81.98,109.85
1748765667683226,1748765667782438,'й',й,99.21,69.77
1748765667855410,1748765667944687,'б',б,89.28,72.97
1748765668438368,1748765668514268,'т',т,75.9,493.68
1748765668612203,1748765668697878,'о',о,85.67,97.94
1748765668789887,1748765668850826,'г',г,60.94,92.01
1748765669017281,1748765669051080,'д',д,33.8,166.46
1748765669088372,1748765669156698,'а',а,68.33,37.29
1748765706648686,1748765706730978,'Н',Н,82.29,37491.99
1748765706921476,1748765707011376,'е',е,89.9,190.5
1748765707596233,1748765707682411,"','",",",86.18,584.86
1748765707878398,1748765708083446,'я',я,205.05,195.99
1748765708113401,1748765708198406,'т',т,85.01,29.95
1748765708288399,1748765708363630,'о',о,75.23,89.99
1748765708448624,1748765708518479,'л',л,69.85,84.99
1748765708598626,1748765708698423,'ь',ь,99.8,80.15
1748765708698423,1748765708779177,'к',к,80.75,0.0
1748765708799182,1748765708884094,'о',о,84.91,20.0
1748765709029129,1748765709091618,'г',г,62.49,145.04
1748765709196183,1748765709308963,'л',л,112.78,104.57
1748765709329121,1748765709425096,'а',а,95.97,20.16
1748765709835078,1748765709949874,'з',з,114.8,409.98
1748765709995072,1748765710069875,'а',а,74.8,45.2
1748765710220282,1748765710275284,'о',о,55.0,150.41
1748765710380328,1748765710470283,'т',т,89.96,105.04
1748765710495260,1748765710570456,'к',к,75.2,24.98
1748765710605248,1748765710690413,'р',р,85.16,34.79
1748765710756005,1748765710856404,'ы',ы,100.4,65.59
1748765710966614,1748765711040473,'л',л,73.86,110.21
1748765711331520,1748765711411519,"','",",",80.0,291.05
1748765711576732,1748765711651521,'е',е,74.79,165.21
1748765711716722,1748765711793468,'щ',щ,76.75,65.2
1748765711798267,1748765711879076,'е',е,80.81,4.8
1748765712014188,1748765712079071,'н',н,64.88,135.11
1748765712144086,1748765712253914,'е',е,109.83,65.01
1748765712489253,1748765712564255,'в',в,75.0,235.34
1748765712689249,1748765712759613,'с',с,70.36,124.99
1748765712784613,1748765712824813,'т',т,40.2,25.0
1748765712870366,1748765712935162,'а',а,64.8,45.55
1748765713055163,1748765713095366,'в',в,40.2,120.0
1748765713210456,1748765713270164,'а',а,59.71,115.09
1748765713300367,1748765713375165,'л',л,74.8,30.2
1748765768528913,1748765768619367,'д',д,90.45,55153.75
1748765768689114,1748765768799640,'а',а,110.53,69.75
1748765768990339,1748765769101906,'х',х,111.57,190.7
1748765769255552,1748765769359786,'о',о,104.23,153.65
1748765769383241,1748765769521743,'ч',ч,138.5,23.46
1748765769527713,1748765769624084,'е',е,96.37,5.97
1748765769641156,1748765769729727,'т',т,88.57,17.07
1748765769760051,1748765769894489,'с',с,134.44,30.32
1748765769863661,1748765769987110,'я',я,123.45,-30.83
1748765770576466,1748765770639817,'д',д,63.35,589.36
1748765770708266,1748765770809446,'в',в,101.18,68.45
1748765770978313,1748765771059297,'и',и,80.98,168.87
1748765771138022,1748765771226081,'ж',ж,88.06,78.72
1748765771265976,1748765771357847,'а',а,91.87,39.9
1748765771917148,1748765771969643,'к',к,52.49,559.3
1748765772119972,1748765772188713,'а',а,68.74,150.33
1748765772298684,1748765772362285,'к',к,63.6,109.97
1748765772408437,1748765772475830,'о',о,67.39,46.15
1748765772561766,1748765772632291,'г',г,70.53,85.94
1748765772720358,1748765772813383,'о',о,93.02,88.07
1748765772963194,1748765773037534,'н',н,74.34,149.81
1748765773164770,1748765773243588,'и',и,78.82,127.24
1748765773278600,1748765773359157,'б',б,80.56,35.01
1748765773432572,1748765773526096,'у',у,93.52,73.41
1748765773551756,1748765773662058,'д',д,110.3,25.66
1748765773750155,1748765773821613,'ь',ь,71.46,88.1
1748765776710725,1748765776726680,'к',к,15.95,2889.11
1748765776774841,1748765776864194,'о',о,89.35,48.16
1748765777068386,1748765777145524,'н',н,77.14,204.19
1748765777381601,1748765777476017,'к',к,94.42,236.08
1748765777549467,1748765777640769,'р',р,91.3,73.45
1748765777659064,1748765777735139,'е',е,76.07,18.29
1748765777789806,1748765777856018,'т',т,66.21,54.67
1748765777869803,1748765777952006,'н',н,82.2,13.78
1748765777970781,1748765778061898,'о',о,91.12,18.77
1748765778136705,1748765778224517,'г',г,87.81,74.81
1748765778283917,1748765778403760,'о',о,119.84,59.4
1748765778803179,1748765778934700,'е',е,131.52,399.42
1748765779586418,1748765779672458,'с',с,86.04,651.72
1748765779724172,1748765779829898,'л',л,105.73,51.71
1748765779892220,1748765779973798,'и',и,81.58,62.32
1748765780454834,1748765780601254,'ч',ч,146.42,481.04
1748765780583700,1748765780708824,'е',е,125.12,-17.55
1748765780862877,1748765780951873,'с',с,89.0,154.05
1748765781017303,1748765781087276,'т',т,69.97,65.43
1748765781200921,1748765781290981,'н',н,90.06,113.65
1748765781685969,1748765781816548,'о',о,130.58,394.99
1748765782756622,1748765782865591,'а',а,108.97,940.07
1748765783026652,1748765783113908,'н',н,87.26,161.06
1748765783214760,1748765783320590,'е',е,105.83,100.85
1748765783635178,1748765783689878,'л',л,54.7,314.59
1748765783749535,1748765783842360,'а',а,92.82,59.66
1748765784118173,1748765784201218,'м',м,83.05,275.81
1748765784453953,1748765784541110,'п',п,87.16,252.73
